Map,Pokemon,DexID,Morning,Day,Night,MinLvl,MaxLvl,Item,Member,Tier
Abandoned Desert Village,Cacturne,332,0,1,0,35,40,Sticky Barb,0,Common
Abandoned Desert Village,Diglett,50,1,1,1,35,40,Soft Sand,0,Common
Abandoned Desert Village,Donphan,232,1,1,1,35,40,Passho Berry,0,Uncommon
Abandoned Desert Village,Drilbur,529,0,1,0,35,40,,1,Rare
Abandoned Desert Village,Growlithe,58,1,1,1,31,35,Rawst Berry,0,Common
Abandoned Desert Village,Helioptile,694,1,0,1,35,40,,1,Rare
Abandoned Desert Village,Houndour,228,1,0,1,35,40,Charcoal,0,Rare
Abandoned Desert Village,Numel,322,1,1,1,26,30,Rawst Berry,0,Uncommon
Abandoned Desert Village,Pansear,513,1,0,1,35,40,Passho Berry,0,Uncommon
Abandoned Desert Village,Sandile,551,0,1,0,35,38,Black Glasses,0,Rare
Abandoned Desert Village,Slugma,218,1,0,1,35,40,,0,Common
Abandoned Desert Village,Torkoal,324,1,1,1,35,40,Heat Rock,0,Uncommon
Acuity Lakefront,Machoke,67,1,1,1,35,36,Payapa Berry,0,Common
Acuity Lakefront,Meditite,307,1,1,1,39,39,Expert Belt,0,Rare
Acuity Lakefront,Sneasel,215,1,1,1,35,39,Razor Claw,0,Uncommon
Acuity Lakefront,Snorunt,361,1,1,1,35,39,Babiri Berry,0,Uncommon
Acuity Lakefront,Snover,459,1,1,1,35,35,Icy Rock,1,Rare
Acuity Lakefront,Teddiursa,216,1,1,1,35,39,Sitrus Berry,0,Common
Acuity Lakefront,Ursaring,217,1,1,1,35,39,Sitrus Berry,0,Common
Acuity Lakefront,Zubat,41,1,1,1,35,39,,0,Common
Altering Cave,Aipom,190,0,1,0,12,25,,0,Uncommon
Altering Cave,Houndour,228,0,0,1,12,25,,0,Rare
Altering Cave,Mareep,179,1,1,1,12,25,,0,Common
Altering Cave,Pineco,204,1,1,0,12,25,,0,Rare
Altering Cave,Sandshrew,27,1,1,1,12,25,,0,Common
Altering Cave,Shuckle,213,1,1,1,12,25,Berry Juice,0,Rare
Altering Cave,Smeargle,235,1,0,0,12,25,,0,Rare
Altering Cave,Stantler,234,1,1,1,12,25,,0,Common
Altering Cave,Teddiursa,216,1,1,1,25,25,,0,Common
Altering Cave,Zubat,41,1,1,1,12,25,,0,Common
Alto Mare National Park,Chespin,650,1,1,1,24,26,,0,Rare
Alto Mare National Park,Farfetchd,83,1,1,1,30,34,Stick,0,Uncommon
Alto Mare National Park,Furret,162,1,1,1,30,34,Sitrus Berry,0,Common
Alto Mare National Park,Pikachu,25,1,1,1,30,34,Light Ball,0,Uncommon
Alto Mare National Park,Roselia,315,1,1,1,30,34,Poison Barb,0,Uncommon
Alto Mare National Park,Scyther,123,1,1,1,30,34,Metal Coat,0,Rare
Alto Mare National Park,Sentret,161,1,1,1,30,34,,0,Common
Alto Mare National Park,Shroomish,285,1,1,1,30,34,Kebia Berry,0,Uncommon
Alto Mare National Park,Venonat,48,1,1,1,30,34,,0,Common
Alto Mare Secret Garden,Abra,63,1,1,1,30,34,Twisted Spoon,0,Uncommon
Alto Mare Secret Garden,Bonsly,438,1,1,1,22,26,,0,Rare
Alto Mare Secret Garden,Growlithe,58,1,1,1,30,34,Rawst Berry,0,Common
Alto Mare Secret Garden,Munchlax,446,1,1,1,22,26,Leftovers,0,Rare
Alto Mare Secret Garden,Nuzleaf,274,1,1,1,30,34,Power Herb,0,Common
Alto Mare Secret Garden,Pansage,511,1,1,1,30,34,Occa Berry,0,Uncommon
Alto Mare Secret Garden,Pineco,204,1,1,1,5,5,Custap Berry,0,Rare
Alto Mare Secret Garden,Ponyta,77,1,1,1,30,30,,0,Uncommon
Alto Mare Secret Garden,Sentret,161,1,1,1,30,34,Oran Berry,0,Common
Amazon Forest,Aipom,190,1,1,1,35,40,,0,Uncommon
Amazon Forest,Ariados,168,1,1,1,35,40,,0,Common
Amazon Forest,Carnivine,455,1,1,1,35,40,,1,Uncommon
Amazon Forest,Gloom,44,1,1,1,35,40,,0,Common
Amazon Forest,Mankey,56,1,1,1,24,28,,0,Common
Amazon Forest,Shuckle,213,1,1,1,35,40,Oran Berry,0,Rare
Amazon Forest,Skorupi,451,1,1,1,35,40,Lansat Berry,1,Rare
Amazon Forest,Tropius,357,1,1,1,35,40,Nanab Berry,0,Uncommon
Amazon Forest,Weepinbell,70,1,1,1,10,14,,0,Common
Amazon Forest Entrance,Arbok,24,1,1,1,35,40,Poison Barb,0,Common
Amazon Forest Entrance,Chatot,441,1,1,1,35,40,,0,Rare
Amazon Forest Entrance,Natu,177,1,1,1,35,40,,0,Common
Amazon Forest Entrance,Noctowl,164,1,1,1,24,26,,0,Common
Amazon Forest Entrance,Pansage,511,1,1,1,35,40,Occa Berry,0,Uncommon
Amazon Forest Entrance,Slakoth,287,1,1,1,35,40,,0,Uncommon
Amazon Forest Entrance,Spinarak,167,1,1,1,35,40,Tamato Berry,0,Common
Amazon Forest Entrance,Venipede,543,1,1,1,24,27,Poison Barb,1,Rare
Amazon Forest Entrance,Yanma,193,1,1,1,35,40,Wide Lens,0,Uncommon
Amity Square,Beedrill,15,1,1,1,17,20,,0,Uncommon
Amity Square,Beedrill,15,1,1,1,17,20,,0,Uncommon
Amity Square,Bidoof,399,1,1,1,17,20,,0,Common
Amity Square,Bidoof,399,1,1,1,17,20,,0,Common
Amity Square,Buneary,427,1,1,1,21,24,,0,Uncommon
Amity Square,Drifloon,425,1,1,1,17,20,,0,Rare
Amity Square,Jigglypuff,39,1,1,1,17,20,,0,Common
Amity Square,Kricketune,402,1,1,1,17,20,,0,Uncommon
Amity Square,Kricketune,402,1,1,1,17,20,,0,Uncommon
Amity Square,Pachirisu,417,1,1,1,17,20,,0,Rare
Amity Square,Shroomish,285,1,1,1,21,24,,0,Rare
Amity Square,Skitty,300,1,1,1,17,20,,0,Uncommon
Amity Square,Staravia,397,1,1,1,17,20,,0,Uncommon
Amity Square,Staravia,397,1,1,1,17,20,,0,Uncommon
Amity Square,Starly,396,1,1,1,17,20,,0,Common
Amity Square,Starly,396,1,1,1,17,20,,0,Common
Angel Hill,Eevee,133,1,1,1,20,23,,0,Rare
Angel Hill,Koffing,109,1,1,1,24,27,Smoke Ball,0,Common
Angel Hill,Magnemite,81,1,1,1,24,30,Metal Coat,0,Common
Angel Hill,Minun,312,1,1,1,24,30,,0,Uncommon
Angel Hill,Plusle,311,1,1,1,24,30,,0,Uncommon
Angel Hill,Ponyta,77,1,1,1,24,30,,0,Uncommon
Angel Hill,Shinx,403,1,1,1,24,27,,0,Rare
Angel Hill,Teddiursa,216,1,1,1,24,30,Sitrus Berry,0,Common
Angel Hill,Togepi,175,1,1,1,20,23,Shiny Stone,0,Rare
Aphrodia Island,Chingling,433,1,1,1,24,28,Colbur Berry,0,Uncommon
Aphrodia Island,Clefairy,35,1,1,1,18,19,Moon Stone,0,Common
Aphrodia Island,Cottonee,546,1,1,1,24,28,,0,Rare
Aphrodia Island,Munna,517,1,1,1,24,28,,0,Rare
Aphrodia Island,Natu,177,1,1,1,26,28,,0,Common
Aphrodia Island,Phanpy,231,1,1,1,24,27,Passho Berry,0,Uncommon
Aphrodia Island,Seedot,273,1,1,1,24,28,Power Herb,0,Common
Aphrodia Island,Sewaddle,540,1,1,1,24,28,,0,Uncommon
Aphrodia Island East,Gulpin,316,1,1,1,24,28,Iapapa Berry,0,Uncommon
Aphrodia Island East,Honedge,679,1,1,1,24,28,Liechi Berry,1,Rare
Aphrodia Island East,Illumise,314,1,1,1,24,28,Wiki Berry,0,Uncommon
Aphrodia Island East,Pidove,519,1,1,1,24,28,Figy Berry,0,Uncommon
Aphrodia Island East,Snover,459,1,1,1,24,28,Icy Rock,0,Rare
Aphrodia Island East,Sunkern,191,1,1,1,24,28,Coba Berry,0,Common
Aphrodia Island East,Swinub,220,1,1,1,24,27,Aspear Berry,0,Common
Aphrodia Island East,Teddiursa,216,1,1,1,24,28,Sitrus Berry,0,Common
Aphrodia Island West,Clefable,36,1,1,1,24,28,Moon Stone,0,Uncommon
Aphrodia Island West,Clefairy,35,1,1,1,18,19,Moon Stone,0,Common
Aphrodia Island West,Cleffa,173,1,1,1,24,28,Stardust,0,Rare
Aphrodia Island West,Fearow,22,1,1,1,24,28,,0,Common
Aphrodia Island West,Kricketot,401,1,1,1,24,28,,0,Uncommon
Aphrodia Island West,Munna,517,1,1,1,24,28,,0,Rare
Aphrodia Island West,Natu,177,1,1,1,26,28,,0,Common
Aphrodia Island West,Shroomish,285,1,1,1,24,28,Kebia Berry,0,Uncommon
Aphrodia Island West,Volbeat,313,1,1,1,24,28,Figy Berry,0,Uncommon
Bell Tower,Ariados,168,1,0,1,14,17,Silver Powder,0,Uncommon
Bell Tower,Gastly,92,1,1,1,14,17,,0,Uncommon
