Map,Pokemon,Terrain
Aphrodia Island,Clefairy,Land
Aphrodia Island,Munna,Land
Aphrodia Island,Phanpy,Land
Aphrodia Island,Seedot,Land
Aphrodia Island,Sewaddle,Land
Aphrodia Island,Solosis,Land
Aphrodia Island,Torkoal,Land
Aphrodia Island,Natu,Land
Aphrodia Island,Bidoof,Water
Aphrodia Island,Buizel,Water
Aphrodia Island,Corsola,Water
Aphrodia Island,Goldeen,Water
Aphrodia Island,Mudkip,Water
Aphrodia Island,Slowbro,Water
Aphrodia Island,Slowking,Water
Aphrodia Island,Arrokuda,Water
Aphrodia Island,Alomomola,Water

Aphrodia Island East,Drifloon,Land
Aphrodia Island East,Golbat,Land
Aphrodia Island East,Gulpin,Land
Aphrodia Island East,Teddiursa,Land
Aphrodia Island East,Sunkern,Land
Aphrodia Island East,Snover,Land
Aphrodia Island East,Pidove,Land
Aphrodia Island East,Illumise,Land

Aphrodia Island West,Cottonee,Land
Aphrodia Island West,Cleffa,Land
Aphrodia Island West,Clefairy,Land
Aphrodia Island West,Chikorita,Land
Aphrodia Island West,Clefable,Land
Aphrodia Island West,Shroomish,Land
Aphrodia Island West,Natu,Land
Aphrodia Island West,Kricketot,Land
Aphrodia Island West,Fearow,Land

Dragon Neck,Starly,Land
Dragon Neck,Shuckle,Land
Dragon Neck,Bagon,Land
Dragon Neck,Gastly,Land
Dragon Neck,Gible,Land
Dragon Neck,Miltank,Land
Dragon Neck,Swinub,Land
Dragon Neck,Tauros,Land
Dragon Neck,Vulpix,Land

Dragons Neck,Bagon,Land
Dragons Neck,Gastly,Land
Dragons Neck,Vulpix,Land
Dragons Neck,Tauros,Land
Dragons Neck,Gible,Land
Dragons Neck,Swinub,Land
Dragons Neck,Starly,Land
Dragons Neck,Shuckle,Land
Dragons Neck,Miltank,Land

Medusas Cloud,Kricketot,Land
Medusas Cloud,Happiny,Land
Medusas Cloud,Tangela,Land
Medusas Cloud,Slowpoke,Land
Medusas Cloud,Shuppet,Land
Medusas Cloud,Poliwag,Land
Medusas Cloud,Phanpy,Land
Medusas Cloud,Hippopotas,Land
Medusas Cloud,Spheal,Water
Medusas Cloud,Quagsire,Water
Medusas Cloud,Psyduck,Water
Medusas Cloud,Lapras,Water
Medusas Cloud,Frillish,Water
Medusas Cloud,Corsola,Water
Medusas Cloud,Chinchou,Water
Medusas Cloud,Buizel,Water

Nido Isle,Rufflet,Land
Nido Isle,Nidoran M,Land
Nido Isle,Starly,Land
Nido Isle,Seviper,Land
Nido Isle,Nidoran F,Land
Nido Isle,Dratini,Land
Nido Isle,Buizel,Land
Nido Isle,Abra,Land
Nido Isle,Remoraid,Water
Nido Isle,Buizel,Water
Nido Isle,Corsola,Water
Nido Isle,Feebas,Water
Nido Isle,Goldeen,Water
Nido Isle,Lotad,Water
Nido Isle,Piplup,Water
Nido Isle,Slowpoke,Water

Whitmore Residence Backyard,Shroomish,Land
Whitmore Residence Backyard,Vulpix-Alolan,Land
Whitmore Residence Backyard,Volbeat,Land
Whitmore Residence Backyard,Tangela,Land
Whitmore Residence Backyard,Snivy,Land
Whitmore Residence Backyard,Pidgey,Land
Whitmore Residence Backyard,Gastly,Land
Whitmore Residence Backyard,Budew,Land

Whitmore Residence Frontyard,Snubbull,Land
Whitmore Residence Frontyard,Caterpie,Land
Whitmore Residence Frontyard,Combee,Land
Whitmore Residence Frontyard,Dedenne,Land
Whitmore Residence Frontyard,Magnemite,Land
Whitmore Residence Frontyard,Pachirisu,Land
Whitmore Residence Frontyard,Phanpy,Land
Whitmore Residence Frontyard,Vulpix,Land
Whitmore Residence Frontyard,Wynaut,Land
