Map,Pokemon,Terrain
Breezy Cave,Geodude,Land
Breezy Cave,Glameow,Land
Breezy Cave,Gligar,Land
Breezy Cave,Lickitung,Land
Breezy Cave,Mankey,Land
Breezy Cave,Quagsire,Land
Breezy Cave,Sableye,Land
Breezy Cave,Torkoal,Land

Breezy Cave Hidden Mines,Wooper,Land
Breezy Cave Hidden Mines,Seviper,Land
Breezy Cave Hidden Mines,Rotom,Land
Breezy Cave Hidden Mines,Quagsire,Land
Breezy Cave Hidden Mines,Paras,Land
Breezy Cave Hidden Mines,Marill,Land
Breezy Cave Hidden Mines,Happiny,Land
Breezy Cave Hidden Mines,Baltoy,Land

Breezy Falls,Wooper,Water
Breezy Falls,Shellder,Water
Breezy Falls,Mudkip,Water
Breezy Falls,Mantyke,Water
Breezy Falls,Krabby,Water
Breezy Falls,Chinchou,Water
Breezy Falls,Buizel,Water
Breezy Falls,Azurill,Water
Breezy Falls,Lickitung,Land
Breezy Falls,Ponyta,Land
Breezy Falls,Pancham,Land
Breezy Falls,Munchlax,Land
Breezy Falls,Mankey,Land
Breezy Falls,Magnemite,Land
Breezy Falls,Gastly,Land
Breezy Falls,Abra,Land
Breezy Falls,Snubbull,Land

Breezy Garden,Mantine,Water
Breezy Garden,Feebas,Water
Breezy Garden,Goldeen,Water
Breezy Garden,Luvdisc,Water
Breezy Garden,Marill,Water
Breezy Garden,Growlithe,Land
Breezy Garden,Poliwag,Water
Breezy Garden,Budew,Land
Breezy Garden,Buneary,Land
Breezy Garden,Inkay,Land
Breezy Garden,Piplup,Water
Breezy Garden,Torchic,Land
Breezy Garden,Spinda,Land
Breezy Garden,Wigglytuff,Land
Breezy Garden,Wooper,Water
Breezy Garden,Weedle,Land

Breezy Garden Underwater,Gorebyss,Water
Breezy Garden Underwater,Corsola,Water
Breezy Garden Underwater,Wooper,Water
Breezy Garden Underwater,Clamperl,Water
Breezy Garden Underwater,Relicanth,Water
Breezy Garden Underwater,Shellder,Water
Breezy Garden Underwater,Huntail,Water
Breezy Garden Underwater,Lanturn,Water

Breezy Path,Shellos,Water
