Map,Pokemon,Terrain
Crumpit Valley,Beldum,Land
Crumpit Valley,Kricketot,Land
Crumpit Valley,Stantler,Land
Crumpit Valley,Deerling,Land
Crumpit Valley,Farfetchd,Land
Crumpit Valley,Noctowl,Land
Crumpit Valley,Pikachu,Land
Crumpit Valley,Swinub,Land
Crumpit Valley,Golbat,Water
Crumpit Valley,Luvdisc,Water
Crumpit Valley,Marill,Water
Crumpit Valley,Shellder,Water
Crumpit Valley,Wingull,Water
Crumpit Valley,Zubat,Water
Crumpit Valley,Floatzel,Water
Crumpit Valley,Cloyster,Water

Cryofrost Brink,Buizel,Land
Cryofrost Brink,Ekans,Land
Cryofrost Brink,Yanma,Land
Cryofrost Brink,Sandshrew-Alolan,Land
Cryofrost Brink,Sandshrew,Land
Cryofrost Brink,Linoone,Land
Cryofrost Brink,Glameow,Land
Cryofrost Brink,Zangoose,Land

Cryofrost Path,Vulpix,Land
Cryofrost Path,Volbeat,Land
Cryofrost Path,Natu,Land
Cryofrost Path,Meowth,Land
Cryofrost Path,Lillipup,Land
Cryofrost Path,Deino,Land
Cryofrost Path,Cyndaquil,Land
Cryofrost Path,Butterfree,Land
Cryofrost Path,Tentacool,Water
Cryofrost Path,Froakie,Water
Cryofrost Path,Lotad,Water
Cryofrost Path,Seel,Water
Cryofrost Path,Slowking,Water
Cryofrost Path,Staryu,Water
Cryofrost Path,Wailmer,Water
Cryofrost Path,Azumarill,Water

Cryofrost Town,Mareep,Land
Cryofrost Town,Lickitung,Land
Cryofrost Town,Hatenna,Land
Cryofrost Town,Goomy,Land
Cryofrost Town,Flaaffy,Land
Cryofrost Town,Camerupt,Land
Cryofrost Town,Numel,Land
Cryofrost Town,Hypno,Land

Evergreen Island Crystal Cave,Growlithe,Land
Evergreen Island Crystal Cave,Steelix,Land
Evergreen Island Crystal Cave,Sableye,Land
Evergreen Island Crystal Cave,Pikachu,Land
Evergreen Island Crystal Cave,Munchlax,Land
Evergreen Island Crystal Cave,Miltank,Land
Evergreen Island Crystal Cave,Mankey,Land
Evergreen Island Crystal Cave,Zubat,Land

Evergreen Island Frozen Cave,Loudred,Land
Evergreen Island Frozen Cave,Donphan,Land
Evergreen Island Frozen Cave,Gible,Land
Evergreen Island Frozen Cave,Growlithe,Land
Evergreen Island Frozen Cave,Marill,Land
Evergreen Island Frozen Cave,Mienfoo,Land
Evergreen Island Frozen Cave,Zubat,Land
Evergreen Island Frozen Cave,Pachirisu,Land
Evergreen Island Frozen Cave,Buizel,Water
Evergreen Island Frozen Cave,Dratini,Water
Evergreen Island Frozen Cave,Cubchoo,Water
Evergreen Island Frozen Cave,Zubat,Water
Evergreen Island Frozen Cave,Spheal,Water
Evergreen Island Frozen Cave,Shellder,Water
Evergreen Island Frozen Cave,Misdreavus,Water
Evergreen Island Frozen Cave,Magikarp,Water
Evergreen Island Frozen Cave,Golduck,Water

Evergreen Island Frozen Path,Buizel,Land
Evergreen Island Frozen Path,Ekans,Land
Evergreen Island Frozen Path,Kadabra,Land
Evergreen Island Frozen Path,Mienfoo,Land
Evergreen Island Frozen Path,Pawniard,Land
Evergreen Island Frozen Path,Quagsire,Land
Evergreen Island Frozen Path,Seviper,Land
Evergreen Island Frozen Path,Teddiursa,Land
Evergreen Island Frozen Path,Azurill,Water
Evergreen Island Frozen Path,Shellder,Water
Evergreen Island Frozen Path,Mudkip,Water
Evergreen Island Frozen Path,Panpour,Water
Evergreen Island Frozen Path,Lotad,Water
Evergreen Island Frozen Path,Zubat,Water
Evergreen Island Frozen Path,Marill,Water
Evergreen Island Frozen Path,Magikarp,Water

Evergreen Island Valley,Torchic,Land
Evergreen Island Valley,Ponyta,Land
Evergreen Island Valley,Swinub,Land
Evergreen Island Valley,Riolu,Land
Evergreen Island Valley,Pidgeotto,Land
Evergreen Island Valley,Kadabra,Land
Evergreen Island Valley,Farfetchd,Land
Evergreen Island Valley,Taillow,Land
Evergreen Island Valley,Froslass,Water
Evergreen Island Valley,Slowbro,Water
Evergreen Island Valley,Noibat,Water
Evergreen Island Valley,Marill,Water
Evergreen Island Valley,Mantyke,Water
Evergreen Island Valley,Lotad,Water
Evergreen Island Valley,Squirtle,Water
Evergreen Island Valley,Tentacool,Water

Evergreen Island Valley Path,Charmander,Land
Evergreen Island Valley Path,Swinub,Land
Evergreen Island Valley Path,Nidorino,Land
Evergreen Island Valley Path,Marill,Land
Evergreen Island Valley Path,Kadabra,Land
Evergreen Island Valley Path,Growlithe,Land
Evergreen Island Valley Path,Chingling,Land
Evergreen Island Valley Path,Axew,Land

Evergreen Island Village,Caterpie,Land
Evergreen Island Village,Lotad,Land
Evergreen Island Village,Buneary,Land
Evergreen Island Village,Magby,Land
Evergreen Island Village,Sneasel,Land
Evergreen Island Village,Staravia,Land
Evergreen Island Village,Petilil,Land
Evergreen Island Village,Vulpix,Land
Evergreen Island Village,Zubat,Water
Evergreen Island Village,Spheal,Water
Evergreen Island Village,Seaking,Water
Evergreen Island Village,Swablu,Water
Evergreen Island Village,Qwilfish,Water
Evergreen Island Village,Marill,Water
Evergreen Island Village,Golbat,Water
Evergreen Island Village,Rookidee,Water

Evergreen Island Village Cave,Zorua,Land
Evergreen Island Village Cave,Numel,Land
Evergreen Island Village Cave,Sandshrew,Land
Evergreen Island Village Cave,Spinda,Land
Evergreen Island Village Cave,Whismur,Land
Evergreen Island Village Cave,Zubat,Land
Evergreen Island Village Cave,Litwick,Land

Evergreen Waterway,Sandshrew,Land
Evergreen Waterway,Munchlax,Land
Evergreen Waterway,Magby,Land
Evergreen Waterway,Sentret,Land
Evergreen Waterway,Skitty,Land
Evergreen Waterway,Sandslash,Land
Evergreen Waterway,Vulpix,Land
Evergreen Waterway,Tentacruel,Water
Evergreen Waterway,Tentacool,Water
Evergreen Waterway,Psyduck,Water
Evergreen Waterway,Golduck,Water

Flake Path,Ninetales,Land
Flake Path,Snorunt,Land
Flake Path,Marill,Land
Flake Path,Noctowl,Land
Flake Path,Pawniard,Land
Flake Path,Sentret,Land
Flake Path,Stantler,Land
Flake Path,Timburr,Land

Flake Wood,Yanma,Land
Flake Wood,Vulpix,Land
Flake Wood,Snivy,Land
Flake Wood,Skitty,Land
Flake Wood,Jigglypuff,Land
Flake Wood,Eevee,Land
Flake Wood,Caterpie,Land
Flake Wood,Ariados,Land

Frost Valley,Treecko,Land
Frost Valley,Staravia,Land
Frost Valley,Caterpie,Land
Frost Valley,Larvesta,Land
Frost Valley,Lombre,Land
Frost Valley,Pikachu,Land
Frost Valley,Roselia,Land
Frost Valley,Carnivine,Land

Frozen Cave,Seadra,Water
Frozen Cave,Quagsire,Water
Frozen Cave,Psyduck,Water
Frozen Cave,Poliwag,Water
Frozen Cave,Magikarp,Water
Frozen Cave,Horsea,Water
Frozen Cave,Krabby,Water
Frozen Cave,Golduck,Water
Frozen Cave,Dewgong,Water
Frozen Cave,Seel,Water
Frozen Cave,Lapras,Water
Frozen Cave,Spheal,Water

Frozen Cave B1F,Swinub,Land
Frozen Cave B1F,Dratini,Land
Frozen Cave B1F,Lillipup,Land
Frozen Cave B1F,Numel,Land
Frozen Cave B1F,Sandslash,Land
Frozen Cave B1F,Steelix,Land
Frozen Cave B1F,Tinkatink,Land
Frozen Cave B1F,Whismur,Land

Frozen Cave B2F,Delibird,Land
Frozen Cave B2F,Primeape,Land
Frozen Cave B2F,Skorupi,Land
Frozen Cave B2F,Stunky,Land
Frozen Cave B2F,Teddiursa,Land
Frozen Cave B2F,Tinkatink,Land
Frozen Cave B2F,Vulpix,Land
Frozen Cave B2F,Miltank,Land
Frozen Cave B2F,Magikarp,Water
Frozen Cave B2F,Lapras,Water
Frozen Cave B2F,Marill,Water
Frozen Cave B2F,Qwilfish,Water
Frozen Cave B2F,Tentacool,Water
Frozen Cave B2F,Tentacruel,Water
Frozen Cave B2F,Vaporeon,Water
Frozen Cave B2F,Wailmer,Water

Frozen Cave Entrance,Vulpix,Land
Frozen Cave Entrance,Unown,Land
Frozen Cave Entrance,Seviper,Land
Frozen Cave Entrance,Noibat,Land
Frozen Cave Entrance,Buneary,Land
Frozen Cave Entrance,Charmander,Land
Frozen Cave Entrance,Ariados,Land
Frozen Cave Entrance,Delibird,Land

Mistpeak Valley,Growlithe,Land
Mistpeak Valley,Donphan,Land
Mistpeak Valley,Ferroseed,Land
Mistpeak Valley,Miltank,Land
Mistpeak Valley,Zubat,Land
Mistpeak Valley,Pikachu,Land
Mistpeak Valley,Rookidee,Land
Mistpeak Valley,Noctowl,Land

Mt. Crumpit,Snorunt,Land
Mt. Crumpit,Pikachu,Land
Mt. Crumpit,Natu,Land
Mt. Crumpit,Espurr,Land
Mt. Crumpit,Cottonee,Land
Mt. Crumpit,Butterfree,Land
Mt. Crumpit,Beedrill,Land
Mt. Crumpit,Rhyhorn,Land
Mt. Crumpit,Floatzel,Water
Mt. Crumpit,Goldeen,Water
Mt. Crumpit,Mudkip,Water
Mt. Crumpit,Psyduck,Water
Mt. Crumpit,Qwilfish,Water
Mt. Crumpit,Wailmer,Water
Mt. Crumpit,Zubat,Water
Mt. Crumpit,Swablu,Water

Mt. Crumpit Summit,Tangela,Land
Mt. Crumpit Summit,Vulpix,Land
Mt. Crumpit Summit,Carnivine,Land
Mt. Crumpit Summit,Growlithe,Land
Mt. Crumpit Summit,Mawile,Land
Mt. Crumpit Summit,Sandshrew,Land
Mt. Crumpit Summit,Spinda,Land
Mt. Crumpit Summit,Spiritomb,Land

North Pole Harbour,Sneasel,Land
North Pole Harbour,Smoochum,Land
