Map,Pokemon,Terrain
Natural Site,Petilil,Land
Natural Site,Weedle,Land
Natural Site,Sewaddle,Land
Natural Site,Fomantis,Land
Natural Site,Rowlet,Land
Natural Site,Bounsweet,Land
Natural Site,Exeggutor-Alolan,Land
Natural Site,Pineco,Land

Historical Site,Mankey,Land
Historical Site,Meditite,Land
Historical Site,Yungoos,Land
Historical Site,Diglett-Alolan,Land
Historical Site,Stufful,Land
Historical Site,Passimian,Land
Historical Site,Mienfoo,Land
Historical Site,Scraggy,Land

Feral Site,Meowth-Alolan,Land
Feral Site,Numel,Land
Feral Site,Houndour,Land
Feral Site,Stunky,Land
Feral Site,Grimer-Alolan,Land
Feral Site,Litten,Land
Feral Site,Turtonator,Land
Feral Site,Salandit,Land

Draconic Site,Horsea,Land
Draconic Site,Skrelp,Land
Draconic Site,Trapinch,Land
Draconic Site,Goomy,Land
Draconic Site,Rhyhorn,Land
Draconic Site,Jangmo-o,Land
Draconic Site,Drampa,Land
Draconic Site,Swablu,Land

Wondorus Site,Morelull,Land
Wondorus Site,Jigglypuff,Land
Wondorus Site,Oranguru,Land
Wondorus Site,Raichu-Alolan,Land
Wondorus Site,Comfey,Land
Wondorus Site,Clefairy,Land
Wondorus Site,Togepi,Land
Wondorus Site,Ralts,Land

Mineral Site,Rockruff,Land
Mineral Site,Mudbray,Land
Mineral Site,Togedemaru,Land
Mineral Site,Geodude-Alolan,Land
Mineral Site,Larvitar,Land
Mineral Site,Durant,Land
Mineral Site,Roggenrola,Land
Mineral Site,Beldum,Land

Haunted Site,Rattata-Alolan,Land
Haunted Site,Phantump,Land
Haunted Site,Gastly,Land
Haunted Site,Sandygast,Land
Haunted Site,Marowak-Alolan,Land
Haunted Site,Dhelmise,Land
Haunted Site,Mimikyu,Land
Haunted Site,Rotom,Land

Glacial Site,Snorunt,Land
Glacial Site,Sandshrew-Alolan,Land
Glacial Site,Shellder,Land
Glacial Site,Snover,Land
Glacial Site,Vulpix-Alolan,Land
Glacial Site,Vanillite,Land
Glacial Site,Crabrawler,Land
Glacial Site,Popplio,Land

Briny Site,Surskit,Land
Briny Site,Barboach,Land
Briny Site,Binacle,Land
Briny Site,Lotad,Land
Briny Site,Pyukumuku,Land
Briny Site,Whimpod,Land
Briny Site,Staryu,Land
Briny Site,Mareanie,Land
