Map,Pokemon,Terrain
Abandoned Ship B1F Room 3,Magikarp,Water
Abandoned Ship B1F Room 3,Tentacruel,Water
Abandoned Ship B1F Room 3,Tentacool,Water

Crater Town,Alomomola,Water
Crater Town,Corphish,Water
Crater Town,Goldeen,Water
Crater Town,Horsea,Water
Crater Town,Kingler,Water
Crater Town,Shellder,Water
Crater Town,Slowking,Water
Crater Town,Wingull,Water

Crater Town,Abra,Land
Crater Town,Farfetchd,Land
Crater Town,Torkoal,Land
Crater Town,Slugma,Land
Crater Town,Litwick,Land
Crater Town,Rattata,Land
Crater Town,Magneton,Land
Crater Town,Scyther,Land

Crater Town Shore,Kingler,Land
Crater Town Shore,Ducklett,Land
Crater Town Shore,Poliwhirl,Land
Crater Town Shore,Sandile,Land
Crater Town Shore,Shellos,Land
Crater Town Shore,Wingull,Land
Crater Town Shore,Wooper,Land
Crater Town Shore,Golduck,Land
Crater Town Shore,Wingull,Water
Crater Town Shore,Buizel,Water
Crater Town Shore,Ducklett,Water
Crater Town Shore,Feebas,Water
Crater Town Shore,Gyarados,Water
Crater Town Shore,Seadra,Water
Crater Town Shore,Seaking,Water
Crater Town Shore,Binacle,Water

Crater Town Tunnel,Bronzor,Land
Crater Town Tunnel,Gible,Land
Crater Town Tunnel,Klink,Land
Crater Town Tunnel,Machoke,Land
Crater Town Tunnel,Makuhita,Land
Crater Town Tunnel,Torkoal,Land
Crater Town Tunnel,Wooper,Land
Crater Town Tunnel,Zubat,Land

Dewford Town,Wailmer,Water
Dewford Town,Tentacool,Water
Dewford Town,Wingull,Water
Dewford Town,Skrelp,Water
Dewford Town,Pelipper,Water
Dewford Town,Magikarp,Water
Dewford Town,Krabby,Water

Dragonspiral Tower 1F,Graveler,Land
Dragonspiral Tower 1F,Zubat,Land
Dragonspiral Tower 1F,Rhyhorn,Land
Dragonspiral Tower 1F,Machop,Land
Dragonspiral Tower 1F,Druddigon,Land
Dragonspiral Tower 1F,Teddiursa,Land
Dragonspiral Tower 1F,Tauros,Land
Dragonspiral Tower 1F,Golett,Land

Dragonspiral Tower 2F,Lillipup,Land
Dragonspiral Tower 2F,Swinub,Land
Dragonspiral Tower 2F,Teddiursa,Land
Dragonspiral Tower 2F,Solrock,Land
Dragonspiral Tower 2F,Mightyena,Land
Dragonspiral Tower 2F,Mienfoo,Land
Dragonspiral Tower 2F,Meditite,Land
Dragonspiral Tower 2F,Marill,Land

Dragonspiral Tower 3F,Zubat,Land
Dragonspiral Tower 3F,Sandslash,Land
Dragonspiral Tower 3F,Pansear,Land
Dragonspiral Tower 3F,Linoone,Land
Dragonspiral Tower 3F,Drilbur,Land
Dragonspiral Tower 3F,Cubchoo,Land
Dragonspiral Tower 3F,Ursaring,Land
Dragonspiral Tower 3F,Trapinch,Land

Dragonspiral Tower 4F,Bronzor,Land
Dragonspiral Tower 4F,Clefairy,Land
Dragonspiral Tower 4F,Duskull,Land
Dragonspiral Tower 4F,Goomy,Land
Dragonspiral Tower 4F,Lunatone,Land
Dragonspiral Tower 4F,Slowpoke,Land
Dragonspiral Tower 4F,Psyduck,Land
Dragonspiral Tower 4F,Mareep,Land

Dragonspiral Tower 5F,Pansage,Land
Dragonspiral Tower 5F,Rhyhorn,Land
Dragonspiral Tower 5F,Deerling,Land
Dragonspiral Tower 5F,Axew,Land
Dragonspiral Tower 5F,Geodude,Land
Dragonspiral Tower 5F,Sandshrew,Land
Dragonspiral Tower 5F,Teddiursa,Land
Dragonspiral Tower 5F,Zubat,Land

Dragonspiral Tower 6F,Mankey,Land
Dragonspiral Tower 6F,Dratini,Land
Dragonspiral Tower 6F,Farfetchd,Land
Dragonspiral Tower 6F,Panpour,Land
Dragonspiral Tower 6F,Piloswine,Land
Dragonspiral Tower 6F,Sandshrew,Land
Dragonspiral Tower 6F,Sentret,Land
Dragonspiral Tower 6F,Bagon,Land

Dragonspiral Tower Exterior,Pansear,Land
Dragonspiral Tower Exterior,Karrablast,Land
Dragonspiral Tower Exterior,Haunter,Land
Dragonspiral Tower Exterior,Watchog,Land
Dragonspiral Tower Exterior,Venomoth,Land
Dragonspiral Tower Exterior,Tepig,Land
Dragonspiral Tower Exterior,Starly,Land
Dragonspiral Tower Exterior,Scatterbug,Land
Dragonspiral Tower Exterior,Carvanha,Water
Dragonspiral Tower Exterior,Ducklett,Water
Dragonspiral Tower Exterior,Horsea,Water
Dragonspiral Tower Exterior,Magikarp,Water
Dragonspiral Tower Exterior,Marill,Water
Dragonspiral Tower Exterior,Oshawott,Water
Dragonspiral Tower Exterior,Panpour,Water
Dragonspiral Tower Exterior,Frillish,Water
Dragonspiral Tower Exterior,Poliwag,Water

Eindoak Town,Lillipup,Land
Eindoak Town,Watchog,Land
Eindoak Town,Snivy,Land
Eindoak Town,Shelmet,Land
Eindoak Town,Patrat,Land
Eindoak Town,Pansage,Land
Eindoak Town,Natu,Land
Eindoak Town,Meowth,Land

Eindoak Waterway,Lillipup,Land
Eindoak Waterway,Magby,Land
Eindoak Waterway,Munchlax,Land
Eindoak Waterway,Numel,Land
Eindoak Waterway,Sandshrew,Land
Eindoak Waterway,Sentret,Land
Eindoak Waterway,Skitty,Land
Eindoak Waterway,Vulpix,Land
Eindoak Waterway,Marill,Water
Eindoak Waterway,Psyduck,Water
Eindoak Waterway,Spheal,Water
Eindoak Waterway,Staryu,Water
Eindoak Waterway,Goomy,Water
Eindoak Waterway,Golduck,Water
Eindoak Waterway,Tentacruel,Water
Eindoak Waterway,Tentacool,Water

Enyor Island Forest,Snorunt,Land
Enyor Island Forest,Zigzagoon,Land
Enyor Island Forest,Swinub,Land
Enyor Island Forest,Snover,Land
Enyor Island Forest,Bergmite,Land
Enyor Island Forest,Sneasel,Land
Enyor Island Forest,Sentret,Land
Enyor Island Forest,Piloswine,Land

Eumi Island Burned Tower,Torkoal,Land
Eumi Island Burned Tower,Vulpix,Land
Eumi Island Burned Tower,Numel,Land
Eumi Island Burned Tower,Raticate,Land
Eumi Island Burned Tower,Kadabra,Land
Eumi Island Burned Tower,Gastly,Land
Eumi Island Burned Tower,Fennekin,Land
Eumi Island Burned Tower,Mightyena,Land

Eumi Island Temple Entrance,Chimecho,Land
Eumi Island Temple Entrance,Meditite,Land
Eumi Island Temple Entrance,Poochyena,Land
Eumi Island Temple Entrance,Spinda,Land
Eumi Island Temple Entrance,Taillow,Land
Eumi Island Temple Entrance,Throh,Land
Eumi Island Temple Entrance,Whismur,Land
Eumi Island Temple Entrance,Zigzagoon,Land
Eumi Island Temple Entrance,Sawk,Land

Eumi Island Theme Park 1,Ralts,Land
Eumi Island Theme Park 1,Electrike,Land
Eumi Island Theme Park 1,Loudred,Land
Eumi Island Theme Park 1,Poochyena,Land
Eumi Island Theme Park 1,Shroomish,Land
Eumi Island Theme Park 1,Spinda,Land
Eumi Island Theme Park 1,Taillow,Land
Eumi Island Theme Park 1,Wurmple,Land

Eumi Island Theme Park 2,Taillow,Land
Eumi Island Theme Park 2,Phanpy,Land
Eumi Island Theme Park 2,Chespin,Land
Eumi Island Theme Park 2,Volbeat,Land
Eumi Island Theme Park 2,Illumise,Land
Eumi Island Theme Park 2,Zigzagoon,Land
Eumi Island Theme Park 2,Growlithe,Land

Eumi Island Theme Park 3,Froakie,Land
Eumi Island Theme Park 3,Loudred,Land
Eumi Island Theme Park 3,Roselia,Land
Eumi Island Theme Park 3,Seedot,Land
Eumi Island Theme Park 3,Skitty,Land
Eumi Island Theme Park 3,Spoink,Land
Eumi Island Theme Park 3,Gulpin,Land
Eumi Island Theme Park 3,Taillow,Land

Eumi Island Town,Skitty,Land
Eumi Island Town,Eevee,Land
Eumi Island Town,Electrike,Land
Eumi Island Town,Furfrou,Land
Eumi Island Town,Gothita,Land
Eumi Island Town,Illumise,Land
Eumi Island Town,Nuzleaf,Land
Eumi Island Town,Poochyena,Land
Eumi Island Town,Taillow,Land
Eumi Island Town,Volbeat,Land

Ever Grande City,Corsola,Water
Ever Grande City,Magikarp,Water
Ever Grande City,Luvdisc,Water
Ever Grande City,Tentacool,Water
Ever Grande City,Tentacruel,Water
Ever Grande City,Wailmer,Water

Fiery Path,Slugma,Land
Fiery Path,Torkoal,Land
Fiery Path,Numel,Land
Fiery Path,Magby,Land
Fiery Path,Machop,Land
Fiery Path,Grimer,Land
Fiery Path,Roggenrola,Land
Fiery Path,Koffing,Land

Galeras Island East,Electrike,Land
Galeras Island East,Pikachu,Land
Galeras Island East,Mareep,Land
Galeras Island East,Magneton,Land
Galeras Island East,Magnemite,Land
Galeras Island East,Emolga,Land
Galeras Island East,Blitzle,Land
Galeras Island East,Voltorb,Land
Galeras Island East,Chinchou,Water

Galeras Island South,Tentacool,Water
Galeras Island South,Basculin,Water
Galeras Island South,Corsola,Water
Galeras Island South,Golduck,Water
Galeras Island South,Psyduck,Water
Galeras Island South,Tentacruel,Water
Galeras Island South,Finneon,Water

Galeras Island West,Slugma,Land
Galeras Island West,Darumaka,Land
Galeras Island West,Growlithe,Land
Galeras Island West,Litleo,Land
Galeras Island West,Magby,Land
Galeras Island West,Phanpy,Land
Galeras Island West,Sandshrew,Land
Galeras Island West,Vulpix,Land

Granite Cave 1F,Zubat,Land
Granite Cave 1F,Timburr,Land
Granite Cave 1F,Rhyhorn,Land
Granite Cave 1F,Abra,Land
Granite Cave 1F,Geodude,Land
Granite Cave 1F,Diglett,Land
Granite Cave 1F,Makuhita,Land

Granite Cave 1F2,Abra,Land
Granite Cave 1F2,Geodude,Land
Granite Cave 1F2,Zubat,Land
Granite Cave 1F2,Makuhita,Land

Granite Cave B1F,Abra,Land
Granite Cave B1F,Aron,Land
Granite Cave B1F,Axew,Land
Granite Cave B1F,Geodude,Land
Granite Cave B1F,Makuhita,Land
Granite Cave B1F,Onix,Land
Granite Cave B1F,Whismur,Land
Granite Cave B1F,Zubat,Land

Granite Cave B2F,Mawile,Land
Granite Cave B2F,Sableye,Land
Granite Cave B2F,Onix,Land
Granite Cave B2F,Nosepass,Land
Granite Cave B2F,Zubat,Land
Granite Cave B2F,Makuhita,Land
Granite Cave B2F,Geodude,Land
Granite Cave B2F,Abra,Land

High Tide Entrance Room,Cubchoo,Land
High Tide Entrance Room,Sealeo,Land
High Tide Entrance Room,Golbat,Land
High Tide Entrance Room,Dewgong,Land
High Tide Entrance Room,Delibird,Land
High Tide Entrance Room,Spheal,Land
High Tide Entrance Room,Magikarp,Water
High Tide Entrance Room,Noibat,Water
High Tide Entrance Room,Piplup,Water
High Tide Entrance Room,Tentacool,Water
High Tide Entrance Room,Tentacruel,Water
High Tide Entrance Room,Wailmer,Water
High Tide Entrance Room,Golbat,Water

Hoenn Festival,Taillow,Land
Hoenn Festival,Electrike,Land
Hoenn Festival,Linoone,Land
Hoenn Festival,Zangoose,Land
Hoenn Festival,Roselia,Land
Hoenn Festival,Seedot,Land
Hoenn Festival,Slakoth,Land
Hoenn Festival,Treecko,Land
Hoenn Festival,Clamperl,Water
Hoenn Festival,Feebas,Water
Hoenn Festival,Luvdisc,Water
Hoenn Festival,Magikarp,Water
Hoenn Festival,Mudkip,Water
Hoenn Festival,Pelipper,Water
Hoenn Festival,Wailmer,Water
Hoenn Festival,Wingull,Water
Hoenn Festival,Carvanha,Water

Hoenn Festival Cave,Absol,Land
Hoenn Festival Cave,Whismur,Land
Hoenn Festival Cave,Makuhita,Land
Hoenn Festival Cave,Mightyena,Land
Hoenn Festival Cave,Numel,Land
Hoenn Festival Cave,Shuppet,Land
Hoenn Festival Cave,Torchic,Land
Hoenn Festival Cave,Torkoal,Land

Hoenn Safari Zone Area 1,Solosis,Land
Hoenn Safari Zone Area 1,Wynaut,Land
Hoenn Safari Zone Area 1,Roselia,Land
Hoenn Safari Zone Area 1,Psyduck,Land
Hoenn Safari Zone Area 1,Pidgeotto,Land
Hoenn Safari Zone Area 1,Natu,Land
Hoenn Safari Zone Area 1,Gulpin,Land
Hoenn Safari Zone Area 1,Girafarig,Land
Hoenn Safari Zone Area 1,Castform,Land
Hoenn Safari Zone Area 1,Pikachu,Land

Hoenn Safari Zone Area 2,Zigzagoon,Land
Hoenn Safari Zone Area 2,Shroomish,Land
Hoenn Safari Zone Area 2,Seviper,Land
Hoenn Safari Zone Area 2,Plusle,Land
Hoenn Safari Zone Area 2,Oddish,Land
Hoenn Safari Zone Area 2,Natu,Land
Hoenn Safari Zone Area 2,Helioptile,Land
Hoenn Safari Zone Area 2,Doduo,Land
Hoenn Safari Zone Area 2,Beldum,Land
Hoenn Safari Zone Area 2,Lombre,Land
Hoenn Safari Zone Area 2,Aron,Land
Hoenn Safari Zone Area 2,Barboach,Water
Hoenn Safari Zone Area 2,Seaking,Water
Hoenn Safari Zone Area 2,Clamperl,Water
Hoenn Safari Zone Area 2,Frillish,Water
Hoenn Safari Zone Area 2,Goldeen,Water
Hoenn Safari Zone Area 2,Feebas,Water
Hoenn Safari Zone Area 2,Lombre,Water
Hoenn Safari Zone Area 2,Lotad,Water

Hoenn Safari Zone Area 3,Absol,Land
Hoenn Safari Zone Area 3,Cacnea,Land
Hoenn Safari Zone Area 3,Dodrio,Land
Hoenn Safari Zone Area 3,Fletchling,Land
