Map,Pokemon,Terrain
Abandoned Desert Village,Cacturne,Land
Abandoned Desert Village,Torkoal,Land
Abandoned Desert Village,Slugma,Land
Abandoned Desert Village,Pansear,Land
Abandoned Desert Village,Numel,Land
Abandoned Desert Village,Houndour,Land
Abandoned Desert Village,Sandile,Land
Abandoned Desert Village,Growlithe,Land
Abandoned Desert Village,Drilbur,Land
Abandoned Desert Village,Donphan,Land
Abandoned Desert Village,Diglett,Land
Abandoned Desert Village,Helioptile,Land
Amazon Forest,Wooper,Water
Amazon Forest,Politoed,Water
Amazon Forest,Poliwag,Water
Amazon Forest,Quagsire,Water
Amazon Forest,Relicanth,Water
Amazon Forest,Skrelp,Water
Amazon Forest,Surskit,Water
Amazon Forest,Panpour,Water
Amazon Forest,Marill,Water
Amazon Forest,Aipom,Land
Amazon Forest,Weepinbell,Land
Amazon Forest,Tropius,Land
Amazon Forest,Skorupi,Land
Amazon Forest,Shuckle,Land
Amazon Forest,Mankey,Land
Amazon Forest,Gloom,Land
Amazon Forest,Carnivine,Land
Amazon Forest,Ariados,Land
Amazon Forest Entrance,Arbok,Land
Amazon Forest Entrance,Pansage,Land
Amazon Forest Entrance,Chatot,Land
Amazon Forest Entrance,Natu,Land
Amazon Forest Entrance,Noctowl,Land
Amazon Forest Entrance,Slakoth,Land
Amazon Forest Entrance,Spinarak,Land
Amazon Forest Entrance,Yanma,Land
Amazon Forest Entrance,Venipede,Land
Bell Tower,Ariados,Land
Bell Tower,Gastly,Land
Bell Tower,Spinarak,Land
Bell Tower,Shuppet,Land
Bell Tower,Noctowl,Land
Bell Tower,Hoothoot,Land
Bell Tower,Haunter,Land
Blackthorn City,Horsea,Water
Blackthorn City,Poliwag,Water
Blackthorn City,Poliwhirl,Water
Blackthorn City,Quagsire,Water
Blackthorn City,Wooper,Water
Bug Catching Area,Caterpie,Land
Bug Catching Area,Weedle,Land
Bug Catching Area,Paras,Land
Bug Catching Area,Venonat,Land
Bug Catching Area,Scyther,Land
Bug Catching Area,Pinsir,Land
Bug Catching Area,Ledyba,Land
Bug Catching Area,Spinarak,Land
Bug Catching Area,Yanma,Land
Bug Catching Area,Heracross,Land
Bug Catching Area,Wurmple,Land
Bug Catching Area,Nincada,Land
Bug Catching Area,Volbeat,Land
Bug Catching Area,Illumise,Land
Bug Catching Area,Kricketot,Land
Bug Catching Area,Burmy,Land
Bug Catching Area,Combee,Land
Bug Catching Area,Dwebble,Land
Bug Catching Area,Joltik,Land
Bug Catching Area,Larvesta,Land
Bug Catching Area,Scatterbug,Land
Bug Catching Area,Cutiefly,Land
Bug Catching Area,Dewpider,Land
Bug Catching Area,Grubbin,Land
Bug Catching Multiplayer Area,Nincada,Land
Bug Catching Multiplayer Area,Burmy,Land
Bug Catching Multiplayer Area,Caterpie,Land
Bug Catching Multiplayer Area,Combee,Land
Bug Catching Multiplayer Area,Cutiefly,Land
Bug Catching Multiplayer Area,Dwebble,Land
Bug Catching Multiplayer Area,Heracross,Land
Bug Catching Multiplayer Area,Illumise,Land
Bug Catching Multiplayer Area,Ledyba,Land
Bug Catching Multiplayer Area,Joltik,Land
Bug Catching Multiplayer Area,Yanma,Land
Bug Catching Multiplayer Area,Wurmple,Land
Bug Catching Multiplayer Area,Weedle,Land
Bug Catching Multiplayer Area,Volbeat,Land
Bug Catching Multiplayer Area,Venonat,Land
Bug Catching Multiplayer Area,Spinarak,Land
Bug Catching Multiplayer Area,Larvesta,Land
Bug Catching Multiplayer Area,Scatterbug,Land
Bug Catching Multiplayer Area,Pinsir,Land
Bug Catching Multiplayer Area,Paras,Land
Bug Catching Multiplayer Area,Kricketot,Land
Bug Catching Multiplayer Area,Scyther,Land
Bug Catching Multiplayer Area,Dewpider,Land
Bug Catching Multiplayer Area,Grubbin,Land
Burned Tower Floor 2,Koffing,Land
Burned Tower Floor 2,Spinda,Land
Burned Tower Floor 2,Weezing,Land
Burned Tower Floor 2,Slugma,Land
Burned Tower Floor 2,Rattata,Land
Burned Tower Floor 2,Pansear,Land
Burned Tower Floor 2,Litwick,Land
Burned Tower Top Floor,Slugma,Land
Burned Tower Top Floor,Weezing,Land
Burned Tower Top Floor,Magmar,Land
Burned Tower Top Floor,Magby,Land
Burned Tower Top Floor,Koffing,Land
Burned Tower Top Floor,Zubat,Land
Burned Tower Top Floor,Rattata,Land
Burned Tower Top Floor,Raticate,Land
Cherrygrove City,Staryu,Water
Cherrygrove City,Corsola,Water
Cherrygrove City,Tentacool,Water
Cherrygrove City,Tentacruel,Water
Cherrygrove City,Wailmer,Water
Cherrygrove City,Krabby,Water
Cherrygrove City,Kingler,Water
Cianwood City,Corsola,Water
Cianwood City,Frillish,Water
Cianwood City,Krabby,Water
Cianwood City,Mantyke,Water
Cianwood City,Octillery,Water
Cianwood City,Remoraid,Water
Cianwood City,Tentacool,Water
Cianwood City,Tentacruel,Water
Cliff Cave 1F,Donphan,Land
Cliff Cave 1F,Golbat,Land
Cliff Cave 1F,Graveler,Land
Cliff Cave 1F,Makuhita,Land
Cliff Cave 1F,Misdreavus,Land
Cliff Cave 1F,Onix,Land
Cliff Cave 2F,Bronzong,Land
Cliff Cave 2F,Golbat,Land
Cliff Cave 2F,Graveler,Land
Cliff Cave 2F,Hariyama,Land
Cliff Cave 2F,Misdreavus,Land
Cliff Cave 2F,Onix,Land
Cliff Cave B1F,Graveler,Land
Cliff Cave B1F,Golbat,Land
Cliff Cave B1F,Misdreavus,Land
Cliff Cave B1F,Onix,Land
Cliff Cave B1F,Steelix,Land
Cliff Cave B1F,Machoke,Land
Cliff Edge Gate,Poliwag,Water
Cliff Edge Gate,Wooper,Water
Cliff Edge Gate,Shellder,Water
Cliff Edge Gate,Magikarp,Water
Cliff Edge Gate,Quagsire,Water
Dark Cave East,Goldeen,Water
Dark Cave East,Magikarp,Water
Dark Cave North,Goldeen,Water
Dark Cave North,Magikarp,Water
Dark Cave North,Seaking,Water
Dark Cave North,Shuckle,Land
Dark Cave North,Bronzor,Land
Dark Cave North,Crobat,Land
Dark Cave North,Geodude,Land
Dark Cave North,Makuhita,Land
Dark Cave North,Misdreavus,Land
Dark Cave North,Wobbuffet,Land
Dark Cave South,Magikarp,Water
Dark Cave South,Goldeen,Water
Dark Cave South,Seaking,Water
Dark Cave South,Sandile,Land
Dark Cave South,Chingling,Land
Dark Cave South,Dunsparce,Land
Dark Cave South,Geodude,Land
Dark Cave South,Makuhita,Land
Dark Cave South,Zubat,Land
Dark Cave West,Magikarp,Water
Dark Cave West,Goldeen,Water
Dark Cave West,Wooper,Water
Desert Cave,Sandshrew,Land
Desert Cave,Zubat,Land
Desert Cave,Steelix,Land
