Map,Pokemon,Terrain
Breakers Beach,Buizel,Land
Breakers Beach,Carvanha,Water
Breakers Beach,Wingull,Water
Breakers Beach,Slowpoke,Water
Breakers Beach,Seadra,Water
Breakers Beach,Relicanth,Water
Breakers Beach,Octillery,Water
Breakers Beach,Mantyke,Water
Breakers Beach,Horsea,Water
Breakers Beach,Wingull,Land
Breakers Beach,Slowpoke,Land
Breakers Beach,Shuckle,Land
Breakers Beach,Shellder,Land
Breakers Beach,Pinsir,Land
Breakers Beach,Lotad,Land
Breakers Beach,Krabby,Land
Breakers Beach,Feebas,Water
Breakers Trench Underwater,Clamperl,Water
Breakers Trench Underwater,Chinchou,Water
Breakers Trench Underwater,Goldeen,Water
Breakers Trench Underwater,Shellder,Water
Breakers Trench Underwater,Relicanth,Water
Breakers Trench Underwater,Seadra,Water
Breakers Trench Underwater,Tynamo,Water
Breakers Trench Underwater,Krabby,Water
Cape Of Palpatoo,Alomomola,Water
Cape Of Palpatoo,Carvanha,Water
Cape Of Palpatoo,Corsola,Water
Cape Of Palpatoo,Magikarp,Water
Cape Of Palpatoo,Mantine,Water
Cape Of Palpatoo,Wingull,Water
Cape Of Palpatoo,Swablu,Water
Cape Of Palpatoo,Slowpoke,Water
Cape Of Palpatoo,Seadra,Water
Celadon City,Grimer,Water
Celadon City,Koffing,Water
Celadon City,Muk,Water
Cerulean Cave 1F,Starmie,Water
Cerulean Cave 1F,Nidoqueen,Land
Cerulean Cave 1F,Magneton,Land
Cerulean Cave 1F,Machamp,Land
Cerulean Cave 1F,Kangaskhan,Land
Cerulean Cave 1F,Wobbuffet,Land
Cerulean Cave 1F,Parasect,Land
Cerulean Cave 1F,Slowbro,Water
Cerulean Cave 1F,Rhyhorn,Land
Cerulean Cave 1F,Poliwrath,Water
Cerulean Cave 1F,Lapras,Water
Cerulean Cave 1F,Kingler,Water
Cerulean Cave 1F,Dewgong,Water
Cerulean Cave 1F,Cloyster,Water
Cerulean Cave 1F,Golbat,Land
Cerulean Cave 1F,Arbok,Land
Cerulean Cave 1F,Seaking,Water
Cerulean Cave 2F,Raichu,Land
Cerulean Cave 2F,Persian,Land
Cerulean Cave 2F,Golem,Land
Cerulean Cave 2F,Cubone,Land
Cerulean Cave 2F,Clefable,Land
Cerulean Cave 2F,Chansey,Land
Cerulean Cave 2F,Ditto,Land
Cerulean Cave 2F,Wigglytuff,Land
Cerulean Cave 2F,Rhyhorn,Land
Cerulean Cave B1F,Seadra,Water
Cerulean Cave B1F,Golduck,Water
Cerulean Cave B1F,Onix,Land
Cerulean Cave B1F,Golbat,Water
Cerulean Cave B1F,Dragonair,Water
Cerulean Cave B1F,Cloyster,Water
Cerulean Cave B1F,Slowbro,Water
Cerulean Cave B1F,Gyarados,Water
Cerulean Cave B1F,Rhydon,Land
Cerulean Cave B1F,Gengar,Land
Cerulean Cave B1F,Hypno,Land
Cerulean Cave B1F,Lickitung,Land
Cerulean Cave B1F,Metagross,Land
Cerulean Cave B1F,Mr. Mime,Land
Cerulean Cave B1F,Venomoth,Land
Cerulean Cave B1F,Alakazam,Land
Cerulean Cave B1F,Nidoking,Land
Cerulean City,Goldeen,Water
Cerulean City,Krabby,Water
Cerulean City,Magikarp,Water
Cinnabar Island,Tentacool,Water
Cinnabar Island,Staryu,Water
Cinnabar Island,Magikarp,Water
Cinnabar Island,Krabby,Water
Cinnabar Island,Goldeen,Water
Cinnabar Island,Corsola,Water
Cinnabar Island,Corphish,Water
Cinnabar Island,Carvanha,Water
Cinnabar Mansion 1,Magby,Land
Cinnabar Mansion 1,Raticate,Land
Cinnabar Mansion 1,Ponyta,Land
Cinnabar Mansion 1,Muk,Land
Cinnabar Mansion 1,Weezing,Land
Cinnabar Mansion 1,Vulpix,Land
Cinnabar Mansion 1,Growlithe,Land
Cinnabar Mansion 1,Grimer,Land
Cinnabar Mansion 1,Koffing,Land
Cinnabar Mansion 2,Weezing,Land
Cinnabar Mansion 2,Raticate,Land
Cinnabar Mansion 2,Ninetales,Land
Cinnabar Mansion 2,Muk,Land
Cinnabar Mansion 2,Koffing,Land
Cinnabar Mansion 2,Growlithe,Land
Cinnabar Mansion 2,Grimer,Land
Cinnabar Mansion 2,Darumaka,Land
Cinnabar Mansion 2,Ponyta,Land
Cinnabar Mansion 3,Weezing,Land
Cinnabar Mansion 3,Magmar,Land
Cinnabar Mansion 3,Arcanine,Land
Cinnabar Mansion 3,Raticate,Land
Cinnabar Mansion 3,Rapidash,Land
Cinnabar Mansion 3,Ponyta,Land
Cinnabar Mansion 3,Charmander,Land
Cinnabar Mansion 3,Grimer,Land
Cinnabar Mansion 3,Koffing,Land
Cinnabar Mansion 3,Ninetales,Land
Cinnabar Mansion 3,Muk,Land
Cinnabar Mansion B1F,Weezing,Land
Cinnabar Mansion B1F,Arcanine,Land
Cinnabar Mansion B1F,Ditto,Land
