Map,Pokemon,Terrain
Angel Hill,Chingling,Water
Angel Hill,Eevee,Land
Angel Hill,Gyarados,Water
Angel Hill,Haunter,Water
Angel Hill,Koffing,Land
Angel Hill,Magnemite,Land
Angel Hill,Marill,Water
Angel Hill,Minun,Land
Angel Hill,Piplup,Water
Angel Hill,Plusle,Land
Angel Hill,Ponyta,Land
Angel Hill,Shinx,Land
Angel Hill,Slowpoke,Water
Angel Hill,Spheal,Water
Angel Hill,Teddiursa,Land
Angel Hill,Togepi,Land
Angel Hill,Togetic,Water
Bittersweet Cave 1F,Drilbur,Land
Bittersweet Cave 1F,Kadabra,Land
Bittersweet Cave 1F,Magnemite,Land
Bittersweet Cave 1F,Mankey,Land
Bittersweet Cave 1F,Marill,Land
Bittersweet Cave 1F,Paras,Land
Bittersweet Cave 1F,Ralts,Land
Bittersweet Cave 1F,Torkoal,Land
Bittersweet Cave 1F,Wooper-Paldea,Land
Bittersweet Cave 2F,Diglett,Land
Bittersweet Cave 2F,Emolga,Land
Bittersweet Cave 2F,Nincada,Land
Bittersweet Cave 2F,Numel,Land
Bittersweet Cave 2F,Nuzleaf,Land
Bittersweet Cave 2F,Slugma,Land
Bittersweet Cave 2F,Smeargle,Land
Bittersweet Cave 2F,Tauros,Land
Bittersweet Cave 2F,Torkoal,Land
Bittersweet Cave 3F,Abra,Land
Bittersweet Cave 3F,Cyndaquil,Land
Bittersweet Cave 3F,Gengar,Land
Bittersweet Cave 3F,Growlithe,Land
Bittersweet Cave 3F,Magnemite,Land
Bittersweet Cave 3F,Piloswine,Land
Bittersweet Cave 3F,Smeargle,Land
Bittersweet Cave 3F,Tauros,Land
Bittersweet Cave 3F,Zangoose,Land
Bittersweet Cave 4F,Growlithe,Land
Bittersweet Cave 4F,Magnemite,Land
Bittersweet Cave 4F,Marill,Land
Bittersweet Cave 4F,Numel,Land
Bittersweet Cave 4F,Parasect,Land
Bittersweet Cave 4F,Petilil,Land
Bittersweet Cave 4F,Sneasel,Land
Bittersweet Cave 4F,Treecko,Land
Bone Pass,Croagunk,Land
Bone Pass,Haunter,Land
Bone Pass,Mightyena,Land
Bone Pass,Nosepass,Land
Bone Pass,Poochyena,Land
Bone Pass,Scraggy,Land
Bone Pass,Vigoroth,Land
Bone Pass,Weezing,Land
Cemetery Island,Bulbasaur,Land
Cemetery Island,Gastly,Land
Cemetery Island,Gastly,Water
Cemetery Island,Gyarados,Water
Cemetery Island,Kadabra,Land
Cemetery Island,Machop,Land
Cemetery Island,Marill,Water
