Map,Pokemon,Terrain
Altering Cave,Aipom,Land
Altering Cave,Houndour,Land
Altering Cave,Mareep,Land
Altering Cave,Pineco,Land
Altering Cave,Sandshrew,Land
Altering Cave,Shuckle,Land
Altering Cave,Smeargle,Land
Altering Cave,Stantler,Land
Altering Cave,Teddiursa,Land
Altering Cave,Zubat,Land
Berry Forest,Bellsprout,Land
Berry Forest,Drowzee,Land
Berry Forest,Exeggcute,Land
Berry Forest,Gloom,Land
Berry Forest,Hypno,Land
Berry Forest,Oddish,Land
Berry Forest,Petilil,Land
Berry Forest,Slowpoke,Land
Berry Forest,Weepinbell,Land
Bond Bridge,Bellsprout,Land
Bond Bridge,Glameow,Land
Bond Bridge,Gloom,Land
Bond Bridge,Meowth,Land
Bond Bridge,Oddish,Land
Bond Bridge,Pidgeotto,Land
Bond Bridge,Pidgey,Land
Bond Bridge,Psyduck,Land
Bond Bridge,Venonat,Land
Bond Bridge,Weepinbell,Land
Canyon Entrance,Fearow,Land
Canyon Entrance,Meowth,Land
Canyon Entrance,Persian,Land
Canyon Entrance,Phanpy,Land
Canyon Entrance,Psyduck,Land
Canyon Entrance,Sentret,Land
Canyon Entrance,Slowpoke,Land
Canyon Entrance,Spearow,Land
Cape Brink,Bellsprout,Land
Cape Brink,Fearow,Land
Cape Brink,Gloom,Land
Cape Brink,Meowth,Land
Cape Brink,Oddish,Land
Cape Brink,Persian,Land
Cape Brink,Spearow,Land
Five Isle Meadow,Hoppip,Land
Five Isle Meadow,Meowth,Land
Five Isle Meadow,Persian,Land
Five Isle Meadow,Pidgeotto,Land
Five Isle Meadow,Ponyta,Land
Five Isle Meadow,Psyduck,Land
Five Isle Meadow,Rapidash,Land
Five Isle Meadow,Sentret,Land
Five Isle Meadow,Skiddo,Land
Five Isle Meadow,Slowpoke,Land
Icefall Back Cave,Dewgong,Land
Icefall Back Cave,Golbat,Land
Icefall Back Cave,Psyduck,Land
Icefall Back Cave,Seel,Land
Icefall Back Cave,Slowpoke,Land
Icefall Back Cave,Zubat,Land
Icefall Cave 1F,Delibird,Land
Icefall Cave 1F,Golbat,Land
Icefall Cave 1F,Seel,Land
Icefall Cave 1F,Sneasel,Land
Icefall Cave 1F,Swinub,Land
Icefall Cave 1F,Zubat,Land
Icefall Cave B1F,Delibird,Land
Icefall Cave B1F,Golbat,Land
Icefall Cave B1F,Seel,Land
Icefall Cave B1F,Sneasel,Land
Icefall Cave B1F,Swinub,Land
Icefall Cave B1F,Zubat,Land
Icefall Cave Entrance,Dewgong,Land
Icefall Cave Entrance,Golbat,Land
Icefall Cave Entrance,Psyduck,Land
Icefall Cave Entrance,Seel,Land
Icefall Cave Entrance,Slowpoke,Land
Icefall Cave Entrance,Zubat,Land
Kindle Road,Fearow,Land
Kindle Road,Meowth,Land
Kindle Road,Numel,Land
Kindle Road,Persian,Land
Kindle Road,Ponyta,Land
Kindle Road,Psyduck,Land
Kindle Road,Rapidash,Land
Kindle Road,Slowpoke,Land
Kindle Road,Spearow,Land
Lost Cave 1F1,Gastly,Land
Lost Cave 1F1,Golbat,Land
Lost Cave 1F1,Haunter,Land
Lost Cave 1F1,Misdreavus,Land
Lost Cave 1F1,Murkrow,Land
Lost Cave 1F1,Zubat,Land
Lost Cave 1F10,Gastly,Land
Lost Cave 1F10,Golbat,Land
Lost Cave 1F10,Haunter,Land
Lost Cave 1F10,Misdreavus,Land
Lost Cave 1F10,Murkrow,Land
Lost Cave 1F10,Yamask,Land
Lost Cave 1F10,Zubat,Land
Lost Cave 1F11,Gastly,Land
Lost Cave 1F11,Golbat,Land
Lost Cave 1F11,Haunter,Land
Lost Cave 1F11,Misdreavus,Land
Lost Cave 1F11,Murkrow,Land
Lost Cave 1F11,Zubat,Land
Lost Cave 1F12,Gastly,Land
Lost Cave 1F12,Golbat,Land
Lost Cave 1F12,Haunter,Land
Lost Cave 1F12,Misdreavus,Land
Lost Cave 1F12,Murkrow,Land
Lost Cave 1F12,Zubat,Land
Lost Cave 1F13,Duskull,Land
Lost Cave 1F13,Gastly,Land
Lost Cave 1F13,Golbat,Land
Lost Cave 1F13,Haunter,Land
Lost Cave 1F13,Misdreavus,Land
Lost Cave 1F13,Murkrow,Land
Lost Cave 1F13,Zubat,Land
Lost Cave 1F14,Gastly,Land
Lost Cave 1F14,Golbat,Land
Lost Cave 1F14,Haunter,Land
Lost Cave 1F14,Misdreavus,Land
Lost Cave 1F14,Murkrow,Land
Lost Cave 1F14,Zubat,Land
Lost Cave 1F2,Gastly,Land
Lost Cave 1F2,Golbat,Land
Lost Cave 1F2,Haunter,Land
Lost Cave 1F2,Misdreavus,Land
Lost Cave 1F2,Murkrow,Land
Lost Cave 1F2,Zubat,Land
Lost Cave 1F3,Gastly,Land
Lost Cave 1F3,Golbat,Land
Lost Cave 1F3,Haunter,Land
Lost Cave 1F3,Misdreavus,Land
Lost Cave 1F3,Purrloin,Land
Lost Cave 1F3,Zubat,Land
Lost Cave 1F4,Gastly,Land
Lost Cave 1F4,Golbat,Land
Lost Cave 1F4,Haunter,Land
Lost Cave 1F4,Misdreavus,Land
Lost Cave 1F4,Murkrow,Land
Lost Cave 1F4,Zubat,Land
Lost Cave 1F5,Gastly,Land
Lost Cave 1F5,Golbat,Land
Lost Cave 1F5,Haunter,Land
Lost Cave 1F5,Misdreavus,Land
Lost Cave 1F5,Murkrow,Land
Lost Cave 1F5,Zubat,Land
Lost Cave 1F6,Gastly,Land
Lost Cave 1F6,Golbat,Land
Lost Cave 1F6,Haunter,Land
Lost Cave 1F6,Misdreavus,Land
Lost Cave 1F6,Murkrow,Land
Lost Cave 1F6,Zubat,Land
Lost Cave 1F7,Gastly,Land
Lost Cave 1F7,Golbat,Land
Lost Cave 1F7,Haunter,Land
Lost Cave 1F7,Misdreavus,Land
Lost Cave 1F7,Murkrow,Land
Lost Cave 1F7,Zubat,Land
Lost Cave 1F8,Gastly,Land
Lost Cave 1F8,Golbat,Land
Lost Cave 1F8,Haunter,Land
Lost Cave 1F8,Misdreavus,Land
Lost Cave 1F8,Murkrow,Land
Lost Cave 1F8,Zubat,Land
Lost Cave 1F9,Gastly,Land
Lost Cave 1F9,Golbat,Land
Lost Cave 1F9,Haunter,Land
Lost Cave 1F9,Misdreavus,Land
Lost Cave 1F9,Murkrow,Land
Lost Cave 1F9,Zubat,Land
Lost Cave Entrance,Golbat,Land
Lost Cave Entrance,Zubat,Land
Memorial Pillar,Hoppip,Land
Memorial Pillar,Pidgey,Land
Memorial Pillar,Spearow,Land
Memorial Pillar,Wingull,Land
Memorial Tower 1F,Ariados,Land
Memorial Tower 1F,Bronzor,Land
Memorial Tower 1F,Chingling,Land
Memorial Tower 1F,Farfetchd,Land
Memorial Tower 1F,Golett,Land
Memorial Tower 1F,Meowth,Land
Memorial Tower 1F,Pancham,Land
Memorial Tower 1F,Sneasel,Land
Memorial Tower 2F,Baltoy,Land
Memorial Tower 2F,Bronzor,Land
Memorial Tower 2F,Chingling,Land
Memorial Tower 2F,Marill,Land
Memorial Tower 2F,Marowak-Alolan,Land
Memorial Tower 2F,Teddiursa,Land
Memorial Tower 2F,Timburr,Land
