Map,Pokemon,Terrain
Acuity Lakefront,Magneton,Land
Acuity Lakefront,Misdreavus,Land
Acuity Lakefront,Ursaring,Land
Acuity Lakefront,Swinub,Land
Acuity Lakefront,Bronzong,Land
Acuity Lakefront,Snover,Land
Acuity Lakefront,Eiscue,Land
Acuity Lakefront,Darumaka-Galarian,Land

Amity Square,Jigglypuff,Land
Amity Square,Eevee,Land
Amity Square,Starly,Land
Amity Square,Bidoof,Land
Amity Square,Kricketune,Land
Amity Square,Budew,Land
Amity Square,Pachirisu,Land
Amity Square,Drifloon,Land
Amity Square,Buneary,Land
Amity Square,Psyduck,Water
Amity Square,Marill,Water
Amity Square,Azurill,Water
Amity Square,Bidoof,Water
Amity Square,Bibarel,Water
Amity Square,Buizel,Water
Amity Square,Finneon,Water
Amity Square,Shellos,Water

Battle Tower,Psyduck,Water
Battle Tower,Corphish,Water
Battle Tower,Staravia,Water
Battle Tower,Bidoof,Water
Battle Tower,Buizel,Water
Battle Tower,Floatzel,Water
Battle Tower,Finneon,Water
Battle Tower,Shellos,Water

Burring Strait,Dewgong,Water
Burring Strait,Swinub,Water
Burring Strait,Piloswine,Water
Burring Strait,Delibird,Water
Burring Strait,Snorunt,Water
Burring Strait,Spheal,Water
Burring Strait,Bergmite,Water
Burring Strait,Avalugg,Water

Buring Strait Underwater,Psyduck,Water
Buring Strait Underwater,Tentacool,Water
Buring Strait Underwater,Tentacruel,Water
Buring Strait Underwater,Magikarp,Water
Buring Strait Underwater,Marill,Water
Buring Strait Underwater,Wailord,Water
Buring Strait Underwater,Oshawott,Water
Buring Strait Underwater,Cubchoo,Water

Cave Of Justice,Zubat,Land
Cave Of Justice,Rhyhorn,Land
Cave Of Justice,Nosepass,Land
Cave Of Justice,Absol,Land
Cave Of Justice,Chingling,Land
Cave Of Justice,Bronzor,Land
Cave Of Justice,Bronzong,Land
Cave Of Justice,Chewtle,Water
Cave Of Justice,Zubat,Water
Cave Of Justice,Golbat,Water
Cave Of Justice,Bibarel,Water
Cave Of Justice,Buizel,Water
Cave Of Justice,Floatzel,Water
Cave of Justice,Noibat,Water

Corsica Island,Bruxish,Water
Corsica Island,Horsea,Water
Corsica Island,Goldeen,Water
Corsica Island,Magikarp,Water
Corsica Island,Chinchou,Water
Corsica Island,Qwilfish,Water
Corsica Island,Remoraid,Water
Corsica Island,Carvanha,Water
Corsica Island,Barboach,Water
Corsica Island,Feebas,Water
Corsica Island,Relicanth,Water
Corsica Island,Luvdisc,Water
Corsica Island,Finneon,Water
Corsica Island,Basculin,Water
Corsica Island,Wishiwashi,Water

Crystal Cavern,Marill,Land
Crystal Cavern,Sneasel,Land
Crystal Cavern,Swinub,Land
Crystal Cavern,Piloswine,Land
Crystal Cavern,Delibird,Land
Crystal Cavern,Whismur,Land
Crystal Cavern,Meditite,Land
Crystal Cavern,Spheal,Land
Crystal Cavern,Carbink,Land
Crystal Cavern,Psyduck,Water
Crystal Cavern,Seel,Water
Crystal Cavern,Dewgong,Water
Crystal Cavern,Shellder,Water
Crystal Cavern,Wailmer,Water
Crystal Cavern,Ducklett,Water
Crystal Cavern,Cryogonal,Water

Eterna City,Psyduck,Water
Eterna City,Golduck,Water
