Map,Pokemon,DexID,Morning,Day,Night,MinLvl,MaxLvl,Item,Member,Tier,Fishing,FishingOnly,RequiredRod
Abandoned Ship B1F Room 3,Magikarp,129,1,1,1,28,35,,0,Common,1,1,Old Rod
Abandoned Ship B1F Room 3,Tentacool,72,1,1,1,28,35,,0,Common,1,0,Old Rod
Abandoned Ship B1F Room 3,Tentacruel,73,1,1,1,30,35,,0,Common,1,0,Good Rod
Alto Mare,Clauncher,692,1,1,1,30,32,,0,Rare,0,0,
Alto Mare,Horsea,116,1,1,1,30,34,Dragon Scale,0,Common,0,0,
Alto Mare,Magikarp,129,1,1,1,30,34,,0,Common,0,0,
Alto Mare,Mantyke,458,1,1,1,30,34,,0,Uncommon,0,0,
Alto Mare,Marill,183,1,1,1,30,32,,0,Uncommon,0,0,
Alto Mare,Panpour,515,1,1,1,30,34,Rindo Berry,0,Uncommon,0,0,
Alto Mare,Shellder,90,1,1,1,30,34,,0,Uncommon,0,0,
Alto Mare,Staryu,120,1,1,1,30,32,Water Stone,0,Rare,0,0,
Alto Mare,Wingull,278,1,1,1,30,34,,0,Common,0,0,
Alto Mare Chained,Clauncher,692,1,1,1,30,32,,0,Rare,0,0,
Alto Mare Chained,Horsea,116,1,1,1,30,34,Dragon Scale,0,Common,0,0,
Alto Mare Chained,Magikarp,129,1,1,1,30,34,,0,Common,0,0,
Alto Mare Chained,Mantyke,458,1,1,1,30,34,,0,Uncommon,0,0,
Alto Mare Chained,Marill,183,1,1,1,30,32,,0,Uncommon,0,0,
Alto Mare Chained,Panpour,515,1,1,1,30,34,Rindo Berry,0,Uncommon,0,0,
Alto Mare Chained,Shellder,90,1,1,1,30,34,,0,Uncommon,0,0,
Alto Mare Chained,Staryu,120,1,1,1,30,32,Water Stone,0,Rare,0,0,
Alto Mare Chained,Wingull,278,1,1,1,30,34,,0,Common,0,0,
Alto Mare East Avenue ,Pelipper,279,1,1,1,26,30,,0,Common,0,0,
Alto Mare East Avenue ,Wingull,278,1,1,1,26,30,,0,Common,0,0,
Alto Mare National Park,Clauncher,692,1,1,1,30,30,,0,Rare,0,0,
Alto Mare National Park,Lotad,270,1,1,1,30,34,Mental Herb,0,Common,0,0,
Alto Mare National Park,Luvdisc,370,1,1,1,30,33,,0,Uncommon,0,0,
Alto Mare National Park,Magikarp,129,1,1,1,30,34,,0,Common,0,0,
Alto Mare National Park,Marill,183,1,1,1,30,32,,0,Uncommon,0,0,
Alto Mare National Park,Remoraid,223,1,1,1,30,34,Starf Berry,0,Uncommon,0,0,
Alto Mare National Park,Staryu,120,1,1,1,30,30,Water Stone,0,Rare,0,0,
Alto Mare National Park,Wingull,278,1,1,1,30,34,,0,Common,0,0,
